epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
165,3073.39,0.65331,0.51062,1.07102,0.71364,0.68099,0.70646,0.5879,0.96829,0.84652,1.21841,0.0067528,0.0067528,0.0067528
166,3091.92,0.65409,0.51232,1.0765,0.70807,0.68766,0.71357,0.58896,0.96825,0.83973,1.21595,0.006733,0.006733,0.006733
167,3110.49,0.65045,0.50013,1.07546,0.71783,0.67701,0.70851,0.58875,0.96607,0.83832,1.21421,0.0067132,0.0067132,0.0067132
168,3129.05,0.6564,0.51108,1.07688,0.72975,0.67355,0.70747,0.58844,0.96623,0.83803,1.21674,0.0066934,0.0066934,0.0066934
169,3147.58,0.6556,0.51247,1.07548,0.72166,0.67558,0.71376,0.58849,0.96571,0.84169,1.21429,0.0066736,0.0066736,0.0066736
170,3166.18,0.64108,0.50145,1.06666,0.69645,0.70083,0.71908,0.58933,0.96016,0.83446,1.21233,0.0066538,0.0066538,0.0066538
171,3184.73,0.65317,0.51576,1.07356,0.73947,0.67563,0.7144,0.58713,0.95764,0.83792,1.21053,0.006634,0.006634,0.006634
172,3203.27,0.64891,0.50014,1.07505,0.74207,0.68045,0.71631,0.58497,0.95218,0.8367,1.20986,0.0066142,0.0066142,0.0066142
173,3221.84,0.6512,0.49998,1.074,0.75579,0.6743,0.7185,0.58596,0.95422,0.83198,1.21095,0.0065944,0.0065944,0.0065944
174,3240.46,0.65217,0.51148,1.07906,0.75446,0.67158,0.72025,0.58802,0.95503,0.82225,1.20941,0.0065746,0.0065746,0.0065746
175,3258.97,0.65572,0.50399,1.07668,0.74998,0.66851,0.7207,0.5885,0.95715,0.82729,1.21489,0.0065548,0.0065548,0.0065548
176,3277.53,0.64961,0.50019,1.06807,0.74277,0.67376,0.71702,0.58814,0.9618,0.82665,1.2198,0.006535,0.006535,0.006535
177,3296.12,0.65999,0.50713,1.07837,0.72698,0.68499,0.71309,0.58742,0.9633,0.82447,1.22107,0.0065152,0.0065152,0.0065152
178,3314.63,0.6605,0.50177,1.07795,0.72651,0.68743,0.71285,0.58628,0.96059,0.82851,1.22017,0.0064954,0.0064954,0.0064954
